"x"
"A2ML1"
"ABCA10"
"ABCA12"
"ABCA13"
"ABCA4"
"ABCA8"
"ABCB5"
"ABCC11"
"ABCC12"
"ABCC2"
"ABCC6P1"
"ABCC8"
"ABCD2"
"ABCG4"
"ABCG5"
"ABHD12B"
"ABO"
"ABP1"
"ACADL"
"ACCN1"
"ACCN4"
"ACE2"
"ACOT6"
"ACOXL"
"ACRV1"
"ACR"
"ACSBG1"
"ACSBG2"
"ACSL6"
"ACSM1"
"ACTA1"
"ACTBL2"
"ACTC1"
"ACTL8"
"ACTN2"
"ACTN3"
"ACY3"
"ADAD2"
"ADAM20"
"ADAM21P1"
"ADAM21"
"ADAM32"
"ADAMTS18"
"ADAMTS19"
"ADAMTS8"
"ADARB2"
"ADCY10"
"ADCY5"
"ADCYAP1R1"
"ADCYAP1"
"ADH1B"
"ADH1C"
"ADIPOQ"
"ADRA1A"
"ADRA1D"
"ADRB1"
"AFARP1"
"AGBL4"
"AGR3"
"AGTR1"
"AIM1L"
"AIM2"
"AJAP1"
"AKNAD1"
"AKR1B10"
"AKR1B15"
"AKR1E2"
"ALB"
"ALDH1L1"
"ALDH3A1"
"ALDOB"
"ALG1L"
"ALK"
"ALMS1P"
"ALOX12P2"
"ALOX12"
"ALOX15"
"ALOXE3"
"ALS2CR11"
"ALS2CR12"
"ALX4"
"AMAC1L2"
"AMBP"
"AMDHD1"
"AMH"
"AMN"
"AMPD1"
"AMY1A"
"AMY2A"
"AMZ1"
"ANGPT4"
"ANGPTL6"
"ANK1"
"ANKK1"
"ANKLE1"
"ANKRD1"
"ANKRD20A3"
"ANKRD20B"
"ANKRD2"
"ANKRD30A"
"ANKRD30B"
"ANKRD31"
"ANKRD43"
"ANKRD45"
"ANKRD55"
"ANO3"
"ANO4"
"ANO5"
"ANP32C"
"ANXA13"
"ANXA2P3"
"ANXA8L2"
"ANXA8"
"AP3B2"
"APOA1"
"APOBEC2"
"APOBEC3H"
"APOB"
"APOC4"
"APOF"
"AQP4"
"AQP5"
"AQP6"
"AQP7P1"
"AQP7"
"AQP8"
"AQP9"
"AQPEP"
"ARC"
"ARGFXP2"
"ARHGDIG"
"ARL17B"
"ARL9"
"ARMC3"
"ARMC4"
"ARRDC5"
"ARSH"
"ART3"
"ART4"
"ART5"
"ARX"
"ASAH2B"
"ASAH2"
"ASGR2"
"ASMT"
"ASPA"
"ASTL"
"ASTN1"
"ASXL3"
"ATP10B"
"ATP13A4"
"ATP13A5"
"ATP1A2"
"ATP1A3"
"ATP1A4"
"ATP2B2"
"ATP6V0A4"
"ATP6V0D2"
"ATP8A2"
"ATRNL1"
"AVPR2"
"AZU1"
"B3GALT2"
"B3GALT5"
"B3GAT1"
"B3GNT3"
"B3GNT4"
"B4GALNT2"
"BAGE2"
"BAI1"
"BAI3"
"BAIAP2L2"
"BANK1"
"BARX1"
"BBOX1"
"BCAN"
"BCHE"
"BCL11A"
"BCL2L10"
"BCL2L14"
"BCL8"
"BCMO1"
"BDNF"
"BEND4"
"BEST3"
"BEST4"
"BET3L"
"BEX1"
"BFSP2"
"BHLHA15"
"BHMT"
"BIRC7"
"BLK"
"BMP3"
"BMP5"
"BMPER"
"BMX"
"BNC1"
"BPIL1"
"BPI"
"BREA2"
"BRSK2"
"BTBD18"
"BTBD8"
"BTC"
"BTLA"
"BTN1A1"
"C10orf107"
"C10orf108"
"C10orf131"
"C10orf82"
"C10orf90"
"C10orf91"
"C10orf93"
"C11orf16"
"C11orf21"
"C11orf53"
"C11orf88"
"C11orf92"
"C12orf53"
"C12orf63"
"C12orf69"
"C12orf70"
"C13orf16"
"C13orf38"
"C14orf162"
"C14orf184"
"C14orf19"
"C14orf50"
"C14orf64"
"C14orf72"
"C14orf73"
"C15orf26"
"C15orf28"
"C15orf51"
"C15orf54"
"C16orf3"
"C16orf89"
"C17orf46"
"C17orf47"
"C17orf55"
"C17orf82"
"C18orf16"
"C18orf34"
"C19orf45"
"C19orf59"
"C19orf71"
"C19orf77"
"C1QL1"
"C1QL3"
"C1QL4"
"C1QTNF4"
"C1QTNF9B"
"C1QTNF9"
"C1orf111"
"C1orf114"
"C1orf125"
"C1orf127"
"C1orf130"
"C1orf150"
"C1orf161"
"C1orf168"
"C1orf173"
"C1orf177"
"C1orf182"
"C1orf186"
"C1orf187"
"C1orf194"
"C1orf200"
"C1orf223"
"C1orf230"
"C1orf61"
"C1orf64"
"C1orf70"
"C1orf95"
"C20orf107"
"C20orf114"
"C20orf152"
"C20orf165"
"C20orf195"
"C20orf197"
"C20orf203"
"C20orf26"
"C21orf125"
"C21orf128"
"C21orf130"
"C21orf15"
"C21orf29"
"C21orf62"
"C21orf71"
"C21orf81"
"C21orf88"
"C22orf15"
"C22orf24"
"C22orf34"
"C22orf41"
"C22orf43"
"C22orf45"
"C2CD4A"
"C2CD4B"
"C2CD4C"
"C2orf39"
"C2orf40"
"C2orf48"
"C2orf50"
"C2orf54"
"C2orf58"
"C2orf62"
"C2orf65"
"C2orf70"
"C2orf73"
"C2orf82"
"C2orf84"
"C3orf45"
"C3orf55"
"C4BPA"
"C4BPB"
"C4orf44"
"C4orf7"
"C5orf20"
"C5orf27"
"C5orf46"
"C5orf58"
"C6orf123"
"C6orf126"
"C6orf127"
"C6orf142"
"C6orf147"
"C6orf15"
"C6orf176"
"C6orf186"
"C6orf208"
"C6orf217"
"C6orf223"
"C6orf25"
"C6orf59"
"C6orf81"
"C6"
"C7orf51"
"C7orf54"
"C7orf61"
"C7"
"C8G"
"C8ORFK29"
"C8orf31"
"C8orf34"
"C8orf46"
"C8orf47"
"C8orf80"
"C8orf86"
"C9orf106"
"C9orf122"
"C9orf128"
"C9orf131"
"C9orf139"
"C9orf153"
"C9orf169"
"C9orf170"
"C9orf173"
"C9orf24"
"C9orf44"
"C9orf50"
"C9orf84"
"CA14"
"CA3"
"CA9"
"CABP1"
"CABP4"
"CABP7"
"CACNA1B"
"CACNA1E"
"CACNA1F"
"CACNA1G"
"CACNA1I"
"CACNA2D1"
"CACNA2D3"
"CACNG1"
"CADM2"
"CADM3"
"CADPS"
"CAGE1"
"CALCR"
"CALHM1"
"CALML3"
"CALML5"
"CALML6"
"CALN1"
"CAMK1G"
"CAMK2A"
"CAMP"
"CAPN11"
"CAPN14"
"CAPN6"
"CAPN8"
"CAPN9"
"CAPSL"
"CASP12"
"CASP5"
"CASQ1"
"CASQ2"
"CATSPER1"
"CBLN1"
"CBLN2"
"CBLN4"
"CCBE1"
"CCDC108"
"CCDC116"
"CCDC129"
"CCDC135"
"CCDC141"
"CCDC144A"
"CCDC144B"
"CCDC144C"
"CCDC147"
"CCDC151"
"CCDC153"
"CCDC154"
"CCDC158"
"CCDC42B"
"CCDC65"
"CCDC67"
"CCL13"
"CCL17"
"CCL18"
"CCL19"
"CCL20"
"CCL21"
"CCL23"
"CCL26"
"CCL3L3"
"CCNA1"
"CCNI2"
"CCNO"
"CCR3"
"CCR8"
"CCR9"
"CD164L2"
"CD177"
"CD19"
"CD1A"
"CD1B"
"CD1C"
"CD1E"
"CD207"
"CD300E"
"CD300LG"
"CD38"
"CD3G"
"CD40LG"
"CD70"
"CDC14C"
"CDC20B"
"CDH12"
"CDH15"
"CDH17"
"CDH20"
"CDH22"
"CDH4"
"CDH8"
"CDHR1"
"CDHR2"
"CDHR5"
"CDK15"
"CDKL2"
"CDR1"
"CDRT1"
"CDX1"
"CEACAM3"
"CEACAM4"
"CEACAM5"
"CEACAM7"
"CEBPE"
"CECR2"
"CECR4"
"CELF4"
"CELF5"
"CEL"
"CEND1"
"CEP170L"
"CES3"
"CES4"
"CETN4P"
"CFHR3"
"CFLP1"
"CFTR"
"CGB7"
"CHAD"
"CHD5"
"CHGB"
"CHIT1"
"CHODL"
"CHRDL2"
"CHRM1"
"CHRM3"
"CHRM4"
"CHRM5"
"CHRNA3"
"CHRNA6"
"CHRNA7"
"CHRNA9"
"CHRNB2"
"CHRNB4"
"CHST4"
"CHST5"
"CHST8"
"CHST9"
"CIB3"
"CIDEA"
"CIDEC"
"CITED1"
"CKMT2"
"CKM"
"CLCA2"
"CLCN1"
"CLCNKA"
"CLCNKB"
"CLDN10"
"CLDN14"
"CLDN18"
"CLDN19"
"CLDN20"
"CLDN2"
"CLDN6"
"CLDN9"
"CLDND2"
"CLEC10A"
"CLEC17A"
"CLEC18A"
"CLEC18B"
"CLEC2L"
"CLEC4D"
"CLEC4E"
"CLEC4F"
"CLEC9A"
"CLLU1"
"CLRN3"
"CLVS1"
"CMA1"
"CMTM2"
"CNDP1"
"CNGA1"
"CNGA3"
"CNGA4"
"CNKSR2"
"CNNM1"
"CNR1"
"CNR2"
"CNTFR"
"CNTN2"
"CNTN6"
"CNTNAP3"
"COCH"
"COL11A2"
"COL25A1"
"COL28A1"
"COL2A1"
"COL4A3"
"COL4A6"
"COL6A4P2"
"COL6A6"
"COL9A3"
"COLEC10"
"COLEC11"
"CORO6"
"COX6B2"
"CPA4"
"CPA6"
"CPB1"
"CPEB1"
"CPLX3"
"CPN2"
"CPNE9"
"CPO"
"CP"
"CR1"
"CR2"
"CRABP1"
"CRB1"
"CRB2"
"CREG2"
"CRHBP"
"CRHR1"
"CRIP3"
"CRISP3"
"CRTAC1"
"CRYBB2"
"CRYBB3"
"CRYGN"
"CRYM"
"CSMD1"
"CSNK1A1L"
"CSRNP3"
"CST1"
"CST2"
"CST4"
"CT62"
"CTNNA3"
"CTRL"
"CTSG"
"CUX2"
"CXADRP3"
"CXCL13"
"CXCL17"
"CXCL1"
"CXCL2"
"CXCL3"
"CXCL5"
"CXCL6"
"CXCR1"
"CXCR2P1"
"CXCR5"
"CXXC4"
"CXorf22"
"CXorf50B"
"CXorf58"
"CYP11A1"
"CYP19A1"
"CYP24A1"
"CYP26A1"
"CYP27C1"
"CYP2A6"
"CYP2B7P1"
"CYP2C8"
"CYP2D6"
"CYP2D7P1"
"CYP3A5"
"CYP4A11"
"CYP4F11"
"CYP4F12"
"CYP4F22"
"CYP4F3"
"CYP4F8"
"CYP4Z1"
"CYP4Z2P"
"CYP8B1"
"D4S234E"
"DAB1"
"DACH2"
"DACT2"
"DAND5"
"DAPL1"
"DBC1"
"DBH"
"DBX2"
"DCAF12L2"
"DCDC1"
"DCDC2"
"DCHS2"
"DCST1"
"DCX"
"DDN"
"DDX11L2"
"DDX25"
"DDX43"
"DEFB132"
"DEFB1"
"DES"
"DGCR5"
"DGCR9"
"DGKB"
"DHDH"
"DHDPSL"
"DHH"
"DHRS2"
"DIO1"
"DIO3"
"DIRAS2"
"DIRC1"
"DKFZp434J0226"
"DKFZp566F0947"
"DKFZp779M0652"
"DKK1"
"DKKL1"
"DLEC1"
"DLEU7"
"DLGAP1"
"DLGAP2"
"DLGAP3"
"DLK2"
"DLL3"
"DLX1"
"DLX2"
"DLX5"
"DLX6"
"DMBT1"
"DMBX1"
"DMP1"
"DMRT2"
"DMRTA1"
"DMRTC1B"
"DNAH11"
"DNAH12"
"DNAH3"
"DNAH8"
"DNAH9"
